pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
35,Ontario,Ontario,31-01-2020,3,0,0,3,,,
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,,
1,Canada,Canada,31-01-2020,4,0,0,4,,,
35,Ontario,Ontario,08-02-2020,3,0,0,3,,,
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,,
1,Canada,Canada,08-02-2020,7,0,0,7,,,
35,Ontario,Ontario,16-02-2020,3,0,0,3,,,
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,,
1,Canada,Canada,16-02-2020,8,0,0,8,,,
35,Ontario,Ontario,21-02-2020,3,0,0,3,,,
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,,
1,Canada,Canada,21-02-2020,9,0,0,9,,,
35,Ontario,Ontario,24-02-2020,4,0,0,4,,,
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,,
1,Canada,Canada,24-02-2020,10,0,0,10,,,
35,Ontario,Ontario,25-02-2020,4,0,0,4,,,
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,,
1,Canada,Canada,25-02-2020,11,0,0,11,,,
35,Ontario,Ontario,26-02-2020,5,0,0,5,,,
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,,
1,Canada,Canada,26-02-2020,12,0,0,12,,,
35,Ontario,Ontario,27-02-2020,6,0,0,6,,,
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,,
1,Canada,Canada,27-02-2020,13,0,0,13,,,
35,Ontario,Ontario,29-02-2020,8,0,0,8,,,
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,,
1,Canada,Canada,29-02-2020,15,0,0,15,,,
35,Ontario,Ontario,01-03-2020,15,0,0,15,,,
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,,
24,Quebec,Québec,01-03-2020,1,0,0,1,,,
1,Canada,Canada,01-03-2020,24,0,0,24,,,
35,Ontario,Ontario,03-03-2020,20,0,0,20,,,
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,,
24,Quebec,Québec,03-03-2020,1,0,0,1,,,
1,Canada,Canada,03-03-2020,33,0,0,33,,,
35,Ontario,Ontario,05-03-2020,22,0,0,22,,,
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,,
24,Quebec,Québec,05-03-2020,2,0,0,2,,,
1,Canada,Canada,05-03-2020,45,0,0,45,,,
35,Ontario,Ontario,06-03-2020,28,0,0,28,,,
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,,
24,Quebec,Québec,06-03-2020,2,0,0,2,,,
1,Canada,Canada,06-03-2020,51,0,0,51,,,
35,Ontario,Ontario,07-03-2020,28,0,0,28,,,
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,,
24,Quebec,Québec,07-03-2020,2,0,0,2,,,
1,Canada,Canada,07-03-2020,57,0,0,57,,,
35,Ontario,Ontario,08-03-2020,31,0,0,31,,,
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,0,27,,,
24,Quebec,Québec,08-03-2020,3,0,0,3,,,
48,Alberta,Alberta,08-03-2020,1,0,0,1,,,
1,Canada,Canada,08-03-2020,62,0,0,62,,,
35,Ontario,Ontario,09-03-2020,34,0,0,34,,,
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,0,32,,,
24,Quebec,Québec,09-03-2020,4,0,0,4,,,
48,Alberta,Alberta,09-03-2020,7,0,0,7,,,
1,Canada,Canada,09-03-2020,77,0,0,77,,,
35,Ontario,Ontario,11-03-2020,42,0,0,42,3394,,
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,0,39,4373,,
24,Quebec,Québec,11-03-2020,7,0,0,7,556,,
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,,
99,Repatriated Travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,0,,
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,,
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,,
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,,
60,Yukon,Yukon,11-03-2020,,,,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,,,,,0,,
62,Nunavut,Nunavut,11-03-2020,,,,,0,,
1,Canada,Canada,11-03-2020,103,0,0,103,11023,,
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,0,46,5195,,
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,,
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,,
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,,
35,Ontario,Ontario,12-03-2020,59,0,0,59,4185,,
24,Quebec,Québec,12-03-2020,13,0,0,13,740,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,,
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,,
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,,
99,Repatriated Travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,0,,
60,Yukon,Yukon,12-03-2020,,,,,0,,
1,Canada,Canada,12-03-2020,138,3,0,141,15185,,
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,0,53,5195,,
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,,
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,,
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,,
35,Ontario,Ontario,13-03-2020,79,0,0,79,4185,,
24,Quebec,Québec,13-03-2020,17,0,0,17,740,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,,,,,6,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,,,,,52,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,,
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,,,,,182,,
99,Repatriated Travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,0,,
60,Yukon,Yukon,13-03-2020,,,,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,,,,,34,,
62,Nunavut,Nunavut,13-03-2020,,,,,1,,
1,Canada,Canada,13-03-2020,176,3,0,179,15185,,
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,0,64,7033,,
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,,
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,,
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,,
35,Ontario,Ontario,14-03-2020,79,0,0,79,6646,,
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,,
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,,
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,,
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,,
99,Repatriated Travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,0,,
1,Canada,Canada,14-03-2020,193,6,0,199,22409,,
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,0,73,7033,,
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,,
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,,
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,,
35,Ontario,Ontario,15-03-2020,103,0,0,103,8461,,
