Date,hosp,icu,hosp_new,icu_new
2020-03-15,2,0,2,0
2020-03-16,5,0,3,0
2020-03-17,6,4,1,4
2020-03-18,7,4,1,0
2020-03-19,10,6,3,2
2020-03-20,19,10,9,4
2020-03-21,24,13,5,3
2020-03-22,45,20,21,7
2020-03-23,67,31,22,11
2020-03-24,78,35,11,4
2020-03-25,106,43,28,8
2020-03-26,141,50,35,7
2020-03-27,164,57,23,7
2020-03-28,192,72,28,15
2020-03-29,235,78,43,6
2020-03-30,286,82,51,4
2020-03-31,307,82,21,0
2020-04-01,365,96,58,14
2020-04-02,441,107,76,11
2020-04-03,478,130,37,23
2020-04-04,525,154,47,24
2020-04-05,533,164,8,10
2020-04-06,583,164,50,0
2020-04-07,632,181,49,17
,,,,
